element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
spec;46;ctcae_spec;adverse_event;EURACAN;Please specify;
spec;46;ctcae_spec_2;adverse_event;EURACAN;Please specify;
spec;46;ctcae_spec_3;adverse_event;EURACAN;Please specify;
spec;46;ctcae_spec_4;adverse_event;EURACAN;Please specify;
spec;46;ctcae_spec_5;adverse_event;EURACAN;Please specify;
spec;46;if yes specify;Personal Information;PaedCan;;String
spec;46;Specify which malignancy;Patient's history;PaedCan;Description of any previous malignancy;ICCC3
spec;46;If other specify;Patient's history;PaedCan;;String
spec;46;Specify which concomitant disease;Patient's history;PaedCan;Description of relevant concomitant disease;String
spec;46;Specify which syndrome;Patient's history;PaedCan;Definition of the syndrome affecting the patient;String
spec;46;Specify the genetic abornalities found;Patient's history;PaedCan;;String
spec;46;Specify the disease;Family's history;PaedCan;Definition of disease affecting the patient's first degree relative;String
spec;46;Specify symptoms and signs;Symptoms and signs;PaedCan;Definition of symptoms and signs caused by the tumor;String
spec;46;Date of first contact with specialized centre;Care pathway;PaedCan;Date in which the patient was firstly seen in a specialized centre;dd/mm/yyyy
spec;46;Specify which trial or protocol;Care pathway;PaedCan;Definition of possible trial/protocol in which the patient was enrolled;String
spec;46;I yes, specify the most relevant;Pathology;PaedCan;;String
spec;46;In case of other metastases, specify;Tumor's characteristics;PaedCan;Definition of the site of metastases;String
spec;46;Specify complications;Surgery;PaedCan;Definition of complication;String
spec;46;if yes specify the drugs used;Chemotherapy;PaedCan;;String
spec;46;If yes specify;Chemotherapy;PaedCan;;String
spec;46;If other please specify;Radiotherapy;PaedCan;;String
spec;46;If yes specify;Radiotherapy;PaedCan;;String
spec;46;If yes, specify;Follow up (one form for each follow up visit);PaedCan;;String
spec;46;If dead for toxicity or other reasons please specify;Follow up (one form for each follow up visit);PaedCan;;String
spec;46;In case of a second tumor please specify the type;Events;PaedCan;;String
spec;46;Specific diagnosis;Disease History;EuRR-Bone & EuRRECa;Orphacode for condition entered in 6.3;Drop down category
spec;46;Condition-specific Outcomes;Patient Reported Outcomes;EuRR-Bone & EuRRECa;Questionnaires specific to diagnosis;
spec;46;Other genetically specified MODY;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified MODY;
spec;46;Other genetically specified neonatal diabetes;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified neonatal diabetes;
spec;46;Other specified genetic defects in insulin action;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other specified genetic defects in insulin action;
spec;46;Septo-optic dysplasia spectrum;PITUITARY;EuRR-Bone & EuRRECa;Septo-optic dysplasia spectrum;
spec;46;Non-specific;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Non-specific;
spec;46;Please specify result of cytogenetic analysis ;Genetic diagnosis;ERKNet; ;gen_cyto_result
spec;46;Please specify genetic abnormality;Genetic diagnosis;ERKNet;If no gentetic specifications are given in diagnosis;gen_result
specialised;1;Date first contact specialised center;subject;Genturis;What was the date (yyyy-mm-dd) of the patients first contact with the specialised/expertise center?;date
specialized;1;Date of first contact with specialized centre;Care pathway;PaedCan;Date in which the patient was firstly seen in a specialized centre;dd/mm/yyyy
specific;11;R_PBC_PBC_specific_ANA_IFT;(PBC Diagnosis) Autoantibodies;Rare Liver (Auto imune);PBC specific ANA on IFT;radio
specific;11;R_PSC_AIH_specific_treatment_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);AIH specific treatment;radio
specific;11;R_AIH_PBC_specific_treament;AIH Follow-up Treatment;Rare Liver (Auto imune);PBC specific treatment;radio
specific;11;R_AIH_PSC_specific_treatment_followup;AIH Follow-up Treatment;Rare Liver (Auto imune);PSC specific treatment;radio
specific;11;R_PBC_PBC_specific_ANA_IFT_followup;PBC Follow-up Autoantibodies;Rare Liver (Auto imune);PBC specific ANA on IFT;radio
specific;11;R_PBC_AIH_specific_treatment_followup;PBC Follow-up Treatment;Rare Liver (Auto imune);AIH specific treatment;radio
specific;11;"b.	Specification other induction therapy:	";4.       Immunosuppression:;Eurogen (Kid Transplantation);;String
specific;11;"d.	Specification other immunosuppressants at discharge:	";4.       Immunosuppression:;Eurogen (Kid Transplantation);;String
specific;11;Specific diagnosis;Disease History;EuRR-Bone & EuRRECa;Orphacode for condition entered in 6.3;Drop down category
specific;11;Condition-specific Outcomes;Patient Reported Outcomes;EuRR-Bone & EuRRECa;Questionnaires specific to diagnosis;
specific;11;Non-specific;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Non-specific;
specified;3;Other genetically specified MODY;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified MODY;
specified;3;Other genetically specified neonatal diabetes;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified neonatal diabetes;
specified;3;Other specified genetic defects in insulin action;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other specified genetic defects in insulin action;
specify;22;Please specify;;ithaca;;text
specify;22;if yes specify;Personal Information;PaedCan;;String
specify;22;Specify which malignancy;Patient's history;PaedCan;Description of any previous malignancy;ICCC3
specify;22;If other specify;Patient's history;PaedCan;;String
specify;22;Specify which concomitant disease;Patient's history;PaedCan;Description of relevant concomitant disease;String
specify;22;Specify which syndrome;Patient's history;PaedCan;Definition of the syndrome affecting the patient;String
specify;22;Specify the genetic abornalities found;Patient's history;PaedCan;;String
specify;22;Specify the disease;Family's history;PaedCan;Definition of disease affecting the patient's first degree relative;String
specify;22;Specify symptoms and signs;Symptoms and signs;PaedCan;Definition of symptoms and signs caused by the tumor;String
specify;22;Specify which trial or protocol;Care pathway;PaedCan;Definition of possible trial/protocol in which the patient was enrolled;String
specify;22;I yes, specify the most relevant;Pathology;PaedCan;;String
specify;22;In case of other metastases, specify;Tumor's characteristics;PaedCan;Definition of the site of metastases;String
specify;22;Specify complications;Surgery;PaedCan;Definition of complication;String
specify;22;if yes specify the drugs used;Chemotherapy;PaedCan;;String
specify;22;If yes specify;Chemotherapy;PaedCan;;String
specify;22;If other please specify;Radiotherapy;PaedCan;;String
specify;22;If yes specify;Radiotherapy;PaedCan;;String
specify;22;If yes, specify;Follow up (one form for each follow up visit);PaedCan;;String
specify;22;If dead for toxicity or other reasons please specify;Follow up (one form for each follow up visit);PaedCan;;String
specify;22;In case of a second tumor please specify the type;Events;PaedCan;;String
specify;22;Please specify result of cytogenetic analysis ;Genetic diagnosis;ERKNet; ;gen_cyto_result
specify;22;Please specify genetic abnormality;Genetic diagnosis;ERKNet;If no gentetic specifications are given in diagnosis;gen_result
spectrum;1;Septo-optic dysplasia spectrum;PITUITARY;EuRR-Bone & EuRRECa;Septo-optic dysplasia spectrum;
speech;1;Speech following counting aloud from 1-50 (onset of dysarthria);QMG;EURO-NMD;;
spinal;1;Spinal rigidity;Diagnosis Skeletal;EURO-NMD;;yesno
spine;8;R_AIH_Lowest_T_Score_Lumber_spine;(AIH Diagnosis) Bone mineral density (DXA);Rare Liver (Auto imune);Lowest T-Score (lumber spine, please add minus in case of negative value);numeric
spine;8;R_PBC_Lowest_T_score_lumber_spine;(PBC Diagnosis) Bone mineral density (DXA);Rare Liver (Auto imune);Lowest T-Score (lumber spine, please add minus in case of negative value);numeric
spine;8;R_PSC_Lowest_T_score_lumber_spine;(PSC Diagnosis) Bone mineral density (DXA);Rare Liver (Auto imune);Lowest T-Score (lumber spine, please add minus in case of negative value);numeric
spine;8;R_PSC_Lowest_T_score_lumber_spine_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Lowest T-Score (lumber spine, please add minus in case of negative value);numeric
spine;8;R_AIH_T_Score_lumber_spine_followup;AIH Follow-up Outcome I;Rare Liver (Auto imune);T-Score (lumber spine, please add minus in case of negative value);numeric
spine;8;R_PBC_Lowest_T_Score_lumber_spine_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Lowest T-Score (lumber spine, please add minus in case of negative value);numeric
spine;8;"a. Ultrasound spine performed in the first 3 months of life:	";4. Evaluation of spine and sacrum: ;Eurogen (Anorectal Malformations);;[Radio button, one selection]
spine;8;b. Age first ultrasound spine performed (in days):;4. Evaluation of spine and sacrum: ;Eurogen (Anorectal Malformations);;[Numeric (Integer)]
spleen;8;R_AIH_Spleen_size_diagnosis;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Spleen size (diameter);numeric
spleen;8;R_PBC_Spleen_size;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Spleen size (diameter);numeric
spleen;8;R_PSC_Spleen_size;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Spleen size;numeric
spleen;8;R_PSC_Spleen_size_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Spleen size (diameter);numeric
spleen;8;R_PSC_Date_spleen_size_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date spleen size;date
spleen;8;R_AIH_Spleen_size_followup;AIH Follow-up Outcome I;Rare Liver (Auto imune);Spleen size (diameter);numeric
spleen;8;spleen_size;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Spleen size;radio
spleen;8;spleen_length;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Maximal spleen length;numeric
splen;5;splenic_vein;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Splenic vein;radio
splen;5;splenectomy;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Splenectomy;radio
splen;5;abd_interv_splen;Diagnosis Aetiology;Rare Liver (Vascular);Splenectomy;radio
splen;5;abd_interv_splen_dt;Diagnosis Aetiology;Rare Liver (Vascular);Date of Splenectomy;date
splen;5;fu_end_splenic_infarction;Follow-up Endpoints;Rare Liver (Vascular);Splenic infarction;radio
splenectomy;1;splenectomy;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Splenectomy;radio
splenic;2;splenic_vein;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Splenic vein;radio
splenic;2;fu_end_splenic_infarction;Follow-up Endpoints;Rare Liver (Vascular);Splenic infarction;radio
splint;1;Ureteral splint Duration of drainage (days);2.       Transplantation surgery:;Eurogen (Kid Transplantation);;[Numeric (Integer)]
spondylodysplastic;1;Spondylodysplastic dysplasia ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Spondylodysplastic dysplasia ;
sporadic;2;Sporadic phaeochromocytoma/secreting paraganglioma;ADRENAL;EuRR-Bone & EuRRECa;Sporadic phaeochromocytoma/secreting paraganglioma;
sporadic;2;Sporadic phaeochromocytoma;ADRENAL;EuRR-Bone & EuRRECa;Sporadic phaeochromocytoma;
spot;2;Number of Cafe au lait spot known?;subject;Genturis;Is the maximal number of Cafe au lait spots ever observed in the patient known?;enum
spot;2;Number of Cafe au lait spot;subject;Genturis;What is the maximal number of cafe au lait spots ever observed in the patient?;int
squamous;2;site_squamous;primary_cancer;EURACAN;Squamous subtype;1, Keratinizing squamous cell carcinoma | 8071/3 | 2, Non-keratinizing squamous cell carcinoma | 8072/3 | 3, Spindle cell (sarcomatoid) squamous cell carcinoma | 8074/3 | 4, Lymphoepithelial carcinoma | 8082/3 | 5, Basaloid squamous cell carcinoma | 8083/3 | 6, Conventional squamous cell carcinoma | 8070/3 | 7, Verrucous squamous cell carcinoma | 8051/3 | 8, Papillary squamous cell carcinoma | 8052/3 | 9, Squamous cell carcinoma, HPV-positive | 8085/3 | 10, Squamous cell carcinoma, HPV-negative | 8086/3
squamous;2;site_squamous_smarcb1;primary_cancer;EURACAN;Please specify whether it was SMARCB1 (INI-1)-deficient Sinonasal Carcinoma;1, Yes | 2, No
srd5a2;1;5a-reductase def (SRD5A2);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;5a-reductase def (SRD5A2);
stage;28;If thymoma, Masaoka stage:;Thymoma;EURO-NMD;;
stage;28;R_AIH_Stage_liver_fibrosis;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Fibrosis stage (Desmet and Scheuer);numeric
stage;28;R_AIH_Stage_of_liver_fibrosis_Ishak;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
stage;28;R_AIH_Tanner_stage;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Tanner stage (1-5 for male genital or female breast);numeric
stage;28;R_AIH_Tanner_stage_pubic_hair;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Tanner stage (1-5 pubic hair);numeric
stage;28;R_PBC_Stage_of_liver_fibrosis;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Fibrosis stage (Desmet and Scheuer);numeric
stage;28;R_PBC_Stage_of_liver_fibrosis_ishak;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
stage;28;R_PBC_Tanner_stage_genital_breast;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5, male genital or female breast);numeric
stage;28;R_PBC_Tanner_stage_pubic_hair;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5, pubic hair);numeric
stage;28;R_PSC_Fibrosis_stage_desmet;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Fibrosis stage (Desmet and Scheuer);numeric
stage;28;R_PSC_Fibrosis_stage_Ishak;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
stage;28;R_PSC_Tanner_stage_diagnosis;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5 male genital or female breast);numeric
stage;28;R_PSC_Tanner_stage_pubic_hair_diagnosis;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5 pubic hair);numeric
stage;28;R_AIH_Tanner_stage_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Tanner stage (1-5 for male genital or female breast);numeric
stage;28;R_AIH_Tanner_stage_pubic_hair_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Tanner stage (1-5 pubic hair);numeric
stage;28;R_PSC_Fibrosis_stage_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Fibrosis stage (Desmet and Scheuer);numeric
stage;28;R_PSC_Fibrosis_stage_ishak_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
stage;28;R_PSC_Tanner_stage_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Tanner stage (1-5 male genital or female breast);numeric
stage;28;R_PSC_Tanner_stage_pubic_hair_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Tanner stage (1-5, pubic hair);numeric
stage;28;R_AIH_Tanner_stage_followup;AIH Follow-up Outcome I;Rare Liver (Auto imune);Tanner stage (1-5 for male genital or female breast);numeric
stage;28;R_AIH_Tanner_stage_hair_followup;AIH Follow-up Outcome I;Rare Liver (Auto imune);Tanner stage (1-5, pubic hair);numeric
stage;28;R_AIH_Fibrosis_stage_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Fibrosis stage (Desmet and Scheuer);numeric
stage;28;R_AIH_Fibrosis_stage_Ishak_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
stage;28;R_PBC_Fibrosis_stage_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Fibrosis stage (Desmet and Scheuer);numeric
stage;28;R_PBC_Fibrosis_stage_ishak_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Fibrosis stage (Ishak);numeric
stage;28;R_PBC_Tanner_stage_genital_breast_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Tanner stage (1-5, male genital or female breast);numeric
stage;28;R_PBC_Tanner_stage_pubic_hair_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Tanner stage (1-5, pubic hair);numeric
stage;28;Pubertal stage (Tanner scale);Clinical Status;ERKNet; ;"female: B1-5, P1-6; 
male: G1-5, P1-6"
staging;9;R_PBC_Nakanuma_staging_score;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Nakanuma staging score;calculation
staging;9;R_PSC_Nakanuma_staging_score;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Nakanuma grading score;calculation
staging;9;R_PSC_Nakanuma_staging_score_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Nakanuma staging score;calculation
staging;9;R_AIH_Nakanuma_staging_score_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Nakanuma staging score;calculation
staging;9;R_PBC_Nakanuma_staging_score_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Nakanuma staging score;calculation
staging;9;staging_proc_req;stage_procedures;EURACAN;Staging procedures done/requested by;1, the hospital | 2, a different hospital
staging;9;clinical_staging_auto_0;stage_procedures;EURACAN;Clinical staging (automatic) = 0;
staging;9;clinical_staging_auto_1;stage_procedures;EURACAN;TESTING Clinical staging (automatic) = 0;
staging;9;staging_def_clin;stage_procedures;EURACAN;Clinical staging defined by;1, the hospital | 2, a different hospital
stairs;1;Climbing stairs;Mobility ;EURO-NMD;;single
standard;4;MuSK (standard, RIA);Diagnosis ;EURO-NMD;;single
standard;4;MuSK (standard, RIA) Titer;Diagnosis ;EURO-NMD;;
standard;4;R_AIH_No_standard_treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Other immunosuppression;radio
standard;4;R_AIH_No_standard_treatment_followup;AIH Follow-up Treatment;Rare Liver (Auto imune);Other immunosuppression;radio
standard,;2;MuSK (standard, RIA);Diagnosis ;EURO-NMD;;single
standard,;2;MuSK (standard, RIA) Titer;Diagnosis ;EURO-NMD;;
star;30;Medication Date started;Medication ;EURO-NMD;;date
star;30;Gastrostomy tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
star;30;Nasogastric tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
star;30;contraceptives_start;Diagnosis Aetiology;Rare Liver (Vascular);Date start of use;date
star;30;pregnancy_start_date;Follow-up Events;Rare Liver (Vascular);Start date of pregnancy;date
star;30;a. Creatinine measurements performed prior to start of dialysis or transplantation: ;5. Lowest creatinine;Eurogen (Posterior urethral valves);;[Radio button, one selection]
star;30;Start date medication;;ithaca;;date
star;30;starting_management;patient_management_at_the_hospital;EURACAN;Patient management started at:;1, Diagnosis | 2, Treatment of primary tumor | 3, Treatment of local recurrence | 4, Treatment of regional recurrence | 5, Treatment of M+
star;30;ae_start;adverse_event;EURACAN;Adverse event starting date;
star;30;ae_start_mm;adverse_event;EURACAN;Adverse event starting month;
star;30;ae_start_yyyy;adverse_event;EURACAN;Adverse event starting year;
star;30;ae_start_2;adverse_event;EURACAN;Second adverse event starting date;
star;30;ae_start_mm_2;adverse_event;EURACAN;Second adverse event starting month;
star;30;ae_start_yyyy_2;adverse_event;EURACAN;Second adverse event starting year;
star;30;ae_start_3;adverse_event;EURACAN;Third adverse event starting date;
star;30;ae_start_mm_3;adverse_event;EURACAN;Third adverse event starting month;
star;30;ae_start_yyyy_3;adverse_event;EURACAN;Third adverse event starting year;
star;30;ae_start_4;adverse_event;EURACAN;Fourth adverse event starting date;
star;30;ae_start_mm_4;adverse_event;EURACAN;Fourth adverse event starting month;
star;30;ae_start_yyyy_4;adverse_event;EURACAN;Fourth adverse event starting year;
star;30;ae_start_5;adverse_event;EURACAN;Fifth adverse event starting date;
star;30;ae_start_mm_5;adverse_event;EURACAN;Fifth adverse event starting month;
star;30;ae_start_yyyy_5;adverse_event;EURACAN;Fifth adverse event starting year;
star;30;Start date;Chemotherapy;PaedCan;First day of chemoterapy;dd/mm/yyyy
star;30;Start date;Radiotherapy;PaedCan;First day of radiotherapy;dd/mm/yyyy
star;30;Start date;Other treatments;PaedCan;Date when therapy was started;dd/mm/yyyy or uk/uk/yyyy
star;30;StAR def;ADRENAL;EuRR-Bone & EuRRECa;StAR def;
star;30;StAR def;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;StAR def;
star;30;StAR def;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;StAR def;
star;30;StAR def;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;StAR def;
start;26;Medication Date started;Medication ;EURO-NMD;;date
start;26;Gastrostomy tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
start;26;Nasogastric tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
start;26;contraceptives_start;Diagnosis Aetiology;Rare Liver (Vascular);Date start of use;date
start;26;pregnancy_start_date;Follow-up Events;Rare Liver (Vascular);Start date of pregnancy;date
start;26;a. Creatinine measurements performed prior to start of dialysis or transplantation: ;5. Lowest creatinine;Eurogen (Posterior urethral valves);;[Radio button, one selection]
start;26;Start date medication;;ithaca;;date
start;26;starting_management;patient_management_at_the_hospital;EURACAN;Patient management started at:;1, Diagnosis | 2, Treatment of primary tumor | 3, Treatment of local recurrence | 4, Treatment of regional recurrence | 5, Treatment of M+
start;26;ae_start;adverse_event;EURACAN;Adverse event starting date;
start;26;ae_start_mm;adverse_event;EURACAN;Adverse event starting month;
start;26;ae_start_yyyy;adverse_event;EURACAN;Adverse event starting year;
start;26;ae_start_2;adverse_event;EURACAN;Second adverse event starting date;
start;26;ae_start_mm_2;adverse_event;EURACAN;Second adverse event starting month;
start;26;ae_start_yyyy_2;adverse_event;EURACAN;Second adverse event starting year;
start;26;ae_start_3;adverse_event;EURACAN;Third adverse event starting date;
start;26;ae_start_mm_3;adverse_event;EURACAN;Third adverse event starting month;
start;26;ae_start_yyyy_3;adverse_event;EURACAN;Third adverse event starting year;
start;26;ae_start_4;adverse_event;EURACAN;Fourth adverse event starting date;
start;26;ae_start_mm_4;adverse_event;EURACAN;Fourth adverse event starting month;
start;26;ae_start_yyyy_4;adverse_event;EURACAN;Fourth adverse event starting year;
start;26;ae_start_5;adverse_event;EURACAN;Fifth adverse event starting date;
start;26;ae_start_mm_5;adverse_event;EURACAN;Fifth adverse event starting month;
start;26;ae_start_yyyy_5;adverse_event;EURACAN;Fifth adverse event starting year;
start;26;Start date;Chemotherapy;PaedCan;First day of chemoterapy;dd/mm/yyyy
start;26;Start date;Radiotherapy;PaedCan;First day of radiotherapy;dd/mm/yyyy
start;26;Start date;Other treatments;PaedCan;Date when therapy was started;dd/mm/yyyy or uk/uk/yyyy
started;3;Medication Date started;Medication ;EURO-NMD;;date
started;3;Gastrostomy tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
started;3;Nasogastric tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
starting;1;starting_management;patient_management_at_the_hospital;EURACAN;Patient management started at:;1, Diagnosis | 2, Treatment of primary tumor | 3, Treatment of local recurrence | 4, Treatment of regional recurrence | 5, Treatment of M+
stat3;1;STAT3;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;STAT3;
stature;6;Overgrowth or tall stature syndrome with skeletal involvement;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth or tall stature syndrome with skeletal involvement;
stature;6;Tall stature-intellectual disability-facial dysmorphism syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Tall stature-intellectual disability-facial dysmorphism syndrome;
stature;6;Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome;
stature;6;Short stature-brachydactyly-obesity-global developmental delay syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Short stature-brachydactyly-obesity-global developmental delay syndrome;
stature;6;SHOX-related short stature ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;SHOX-related short stature ;
stature;6;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;
stature-auditory;1;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;
stature-brachydactyly-obesity-global;1;Short stature-brachydactyly-obesity-global developmental delay syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Short stature-brachydactyly-obesity-global developmental delay syndrome;
stature-intellectual;1;Tall stature-intellectual disability-facial dysmorphism syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Tall stature-intellectual disability-facial dysmorphism syndrome;
stature-skeletal;1;Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome;
status;40;Current ambulatory status;Mobility ;EURO-NMD;;single
status;40;Patient_status;Base information;Rare Liver (Auto imune);Patient status;radio
status;40;R_PSC_IBD_status;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);IBD Status;radio
status;40;R_PSC_IBD_status_followup;PSC Follow-up Cancer surveillance;Rare Liver (Auto imune);IBD Status;radio
status;40;"a.	CMV serological status donor:	";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
status;40;"b.	EBV serological status donor:	";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
status;40;"c.	CMV serological status recipient:";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
status;40;"d.	EBV serological status recipient:	";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
status;40;ER receptor status;malignancy;Genturis;What is the Estrogen receptor status of the breast cancer?;categorical
status;40;PR receptor status;malignancy;Genturis;What is the Progesteron receptor status of the breast cancer?;categorical
status;40;Her2Neu receptor status;malignancy;Genturis;What is the Her2Neu receptor status of the breast cancer?;categorical
status;40;MMR IHC status;malignancy;Genturis;What are the results of the IHC of the MMR proteins?;enum
status;40;MMR MSA status;malignancy;Genturis;What are the results of the MSA of the tumour DNA?;enum
status;40;MLH1 promoter hypermethylation or tumour BRAF V600E status;malignancy;Genturis;Has MLH1 promoter hypermethylation testing or tumour BRAF V600E mutation analyses been performed?;enum
status;40;Somatic biallelic MMR mutation status;malignancy;Genturis;What are the results of the somatic MMR mutation analysis?;enum
status;40;Follow-up status;subject;Genturis;What is the patient's follow-up status?;categorical
status;40;Proband status;subject;Genturis;Is this a proband patient or relative?;enum
status;40;Malignancy status;subject;Genturis;Has this patient ever had a (invasive or in situ) malignancy?;enum
status;40;Benign status;subject;Genturis;Has this patient ever had a benign neoplasm/tumour?;enum
status;40;Phenotypical characteristics status;subject;Genturis;Has the patient phenotypical characteristics?;enum
status;40;Variant status;subject;Genturis;Has any class 3, 4 of 5 variant been found?;enum
status;40;Patient Status ;;ithaca;;compound
status;40;Patient's Status;;ithaca;;categorical
status;40;Functional Status and or Disability;;ithaca;;mref
status;40;Status of diagnosis;;ithaca;;categorical
status;40;Other status of diagnosis;;ithaca;;text
status;40;marital_status;patient_management_at_the_hospital;EURACAN;Marital status;1, Married | 2, Not married | 3, Divorced | 4, Widowed/Widower | 5, Single
status;40;smoking_status;patient_management_at_the_hospital;EURACAN;Smoking;1, Current tobacco smoker | 2, Former smoker | 3, Never smoker | 4, Unknown
status;40;hpv_status;primary_cancer;EURACAN;HPV status;1, Positive | 2, Negative | 3, Not tested | 9, Unknown
status;40;hpv_status_type;primary_cancer;EURACAN;HPV status detected by;1, FISH | 2, PCR | 9, Unknown
